id,student,merchant,orderTime,status,totalAmount,items
1,stu_1,喜茶,2024-01-01 12:30:00,已完成,38.0,清爽芭乐提:2;
2,stu_32,古茗,2024-01-01 09:00:00,已完成,34.0,云深幽兰:2;
3,stu_23,蜜雪冰城,2024-01-02 12:51:00,已完成,32.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
4,吴十,茶百道,2024-01-02 18:52:00,已完成,80.0,青提茉莉:1;超级大瓜:3;
5,stu_3,瑞幸,2024-01-02 18:31:00,已完成,55.9,荔枝冰萃:2;生椰拿铁:1;
6,stu_40,蜜雪冰城,2024-01-02 18:48:00,已完成,50.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:3;
7,stu_11,星巴克,2024-01-03 11:12:00,已完成,141.0,抹茶星冰乐:1;焦糖玛奇朵:1;燕麦拿铁:1;比利时黑巧拿铁:1;
8,孙八,喜茶,2024-01-03 12:12:00,已完成,95.0,清爽芭乐提:1;牦牛乳酥油茶:1;多肉桃李:2;羽衣纤体瓶:1;
9,stu_4,古茗,2024-01-03 06:08:00,已完成,28.0,桃桃冰冰李:2;
10,stu_30,奈雪的茶,2024-01-03 22:49:00,已完成,32.0,金色山脉珍珠奶茶:2;
11,stu_9,喜茶,2024-01-04 09:02:00,已完成,19.0,清爽芭乐提:1;
12,stu_37,蜜雪冰城,2024-01-04 16:46:00,已完成,3.0,新鲜冰激凌:1;
13,stu_47,蜜雪冰城,2024-01-05 10:45:00,已完成,16.0,满杯百香果:2;
14,stu_30,蜜雪冰城,2024-01-05 22:38:00,已取消,24.0,青提肉多多:3;
15,stu_46,奈雪的茶,2024-01-05 18:11:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
16,stu_18,喜茶,2024-01-06 06:07:00,已完成,38.0,羽衣纤体瓶:2;
17,stu_13,古茗,2024-01-06 14:20:00,已完成,45.0,云深幽兰:1;云雾栀子:2;
18,stu_5,蜜雪冰城,2024-01-06 06:40:00,已取消,8.0,青提肉多多:1;
19,吴十,瑞幸,2024-01-07 22:17:00,已完成,32.0,鲜萃轻轻茉莉:2;
20,stu_27,古茗,2024-01-07 14:06:00,已完成,17.0,云深幽兰:1;
21,吴十,蜜雪冰城,2024-01-07 10:15:00,已完成,16.0,新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
22,stu_42,喜茶,2024-01-08 17:25:00,已完成,80.0,牦牛乳酥油茶:1;羽衣纤体瓶:3;
23,stu_33,茶百道,2024-01-08 06:53:00,已完成,18.0,蜜瓜冰淇淋:1;
24,stu_48,奈雪的茶,2024-01-09 15:11:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
25,stu_33,蜜雪冰城,2024-01-09 15:48:00,已完成,5.0,冰鲜柠檬水:1;
26,stu_5,蜜雪冰城,2024-01-10 15:21:00,已完成,10.0,冰鲜柠檬水:2;
27,stu_23,古茗,2024-01-10 14:12:00,已完成,31.0,云深幽兰:1;云雾栀子:1;
28,stu_10,茶百道,2024-01-11 13:34:00,已完成,14.0,青提茉莉:1;
29,stu_21,茶百道,2024-01-11 18:01:00,已完成,82.0,青提茉莉:3;超级大瓜:1;蜜瓜冰淇淋:1;
30,stu_16,古茗,2024-01-12 13:43:00,已完成,17.0,云深幽兰:1;
31,stu_14,蜜雪冰城,2024-01-12 21:57:00,已完成,6.0,新鲜冰激凌:2;
32,stu_40,茶百道,2024-01-13 15:22:00,已完成,32.0,青提茉莉:1;蜜瓜冰淇淋:1;
33,stu_41,瑞幸,2024-01-13 09:38:00,已完成,13.9,生椰拿铁:1;
34,stu_28,茶百道,2024-01-13 11:46:00,已完成,28.0,青提茉莉:2;
35,stu_20,茶百道,2024-01-13 09:57:00,已完成,58.0,青提茉莉:1;超级大瓜:2;
36,王五,星巴克,2024-01-14 12:22:00,已完成,66.0,燕麦拿铁:2;
37,stu_42,蜜雪冰城,2024-01-14 12:59:00,已完成,32.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
38,stu_37,古茗,2024-01-14 17:29:00,已完成,76.0,桃桃冰冰李:2;云深幽兰:2;云雾栀子:1;
39,钱七,喜茶,2024-01-14 09:09:00,已完成,84.0,清爽芭乐提:1;牦牛乳酥油茶:2;羽衣纤体瓶:1;
40,stu_11,蜜雪冰城,2024-01-15 19:04:00,已完成,16.0,青提肉多多:2;
41,周九,蜜雪冰城,2024-01-15 06:32:00,已完成,24.0,青提肉多多:3;
42,王五,蜜雪冰城,2024-01-16 07:44:00,已取消,5.0,冰鲜柠檬水:1;
43,stu_12,蜜雪冰城,2024-01-16 17:34:00,已完成,8.0,青提肉多多:1;
44,stu_6,古茗,2024-01-16 19:34:00,已取消,17.0,云深幽兰:1;
45,孙八,喜茶,2024-01-17 15:22:00,已完成,46.0,牦牛乳酥油茶:2;
46,stu_3,星巴克,2024-01-17 19:59:00,已完成,65.0,抹茶星冰乐:1;燕麦拿铁:1;
47,stu_23,古茗,2024-01-17 06:59:00,已完成,28.0,云雾栀子:2;
48,stu_48,茶百道,2024-01-17 13:11:00,已完成,14.0,青提茉莉:1;
49,stu_50,古茗,2024-01-18 17:48:00,已完成,76.0,桃桃冰冰李:2;云深幽兰:2;云雾栀子:1;
50,stu_16,古茗,2024-01-18 07:23:00,已完成,14.0,桃桃冰冰李:1;
51,stu_27,茶百道,2024-01-19 11:41:00,已完成,94.0,青提茉莉:1;超级大瓜:2;蜜瓜冰淇淋:2;
52,stu_6,古茗,2024-01-19 14:31:00,已完成,14.0,桃桃冰冰李:1;
53,周九,蜜雪冰城,2024-01-19 06:38:00,已完成,5.0,冰鲜柠檬水:1;
54,stu_40,古茗,2024-01-20 13:36:00,已完成,14.0,云雾栀子:1;
55,stu_33,喜茶,2024-01-20 10:44:00,已完成,57.0,羽衣纤体瓶:3;
56,stu_5,蜜雪冰城,2024-01-20 08:35:00,已完成,13.0,新鲜冰激凌:1;冰鲜柠檬水:2;
57,stu_19,瑞幸,2024-01-21 20:01:00,已完成,42.0,荔枝冰萃:2;
58,王五,茶百道,2024-01-21 07:14:00,已完成,36.0,青提茉莉:1;超级大瓜:1;
59,stu_40,茶百道,2024-01-21 19:06:00,已完成,14.0,青提茉莉:1;
60,赵六,蜜雪冰城,2024-01-22 07:14:00,已完成,16.0,青提肉多多:2;
61,孙八,喜茶,2024-01-22 08:54:00,已完成,23.0,牦牛乳酥油茶:1;
62,stu_4,蜜雪冰城,2024-01-23 13:28:00,已完成,31.0,满杯百香果:2;冰鲜柠檬水:3;
63,stu_33,蜜雪冰城,2024-01-23 16:18:00,已完成,8.0,青提肉多多:1;
64,stu_34,蜜雪冰城,2024-01-24 18:01:00,已完成,24.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
65,stu_50,古茗,2024-01-24 19:30:00,已完成,17.0,云深幽兰:1;
66,赵六,蜜雪冰城,2024-01-25 14:23:00,已完成,3.0,新鲜冰激凌:1;
67,stu_33,瑞幸,2024-01-25 15:24:00,已完成,16.0,鲜萃轻轻茉莉:1;
68,stu_26,茶百道,2024-01-26 15:57:00,已取消,86.0,青提茉莉:1;蜜瓜冰淇淋:4;
69,stu_4,瑞幸,2024-01-26 10:59:00,已完成,42.0,荔枝冰萃:2;
70,stu_39,茶百道,2024-01-27 21:25:00,已完成,28.0,青提茉莉:2;
71,stu_24,瑞幸,2024-01-27 20:40:00,已完成,42.0,荔枝冰萃:2;
72,stu_26,蜜雪冰城,2024-01-27 08:12:00,已完成,24.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
73,stu_20,古茗,2024-01-28 08:05:00,已完成,59.0,桃桃冰冰李:2;云深幽兰:1;云雾栀子:1;
74,stu_47,茶百道,2024-01-28 14:35:00,已完成,28.0,青提茉莉:2;
75,stu_2,奈雪的茶,2024-01-28 11:32:00,已完成,70.0,茉莉初雪奶茶:1;霸气橙子:2;金色山脉珍珠奶茶:1;
76,stu_49,喜茶,2024-01-29 22:18:00,已完成,42.0,牦牛乳酥油茶:1;羽衣纤体瓶:1;
77,stu_31,古茗,2024-01-29 17:49:00,已完成,59.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:2;
78,吴十,蜜雪冰城,2024-01-30 18:08:00,已完成,32.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:1;
79,stu_22,古茗,2024-01-30 08:23:00,已完成,115.0,桃桃冰冰李:5;云深幽兰:1;云雾栀子:2;
80,stu_5,蜜雪冰城,2024-01-31 09:06:00,已完成,19.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;
81,stu_21,古茗,2024-01-31 09:31:00,已完成,17.0,云深幽兰:1;
82,stu_26,蜜雪冰城,2024-01-31 22:58:00,已完成,8.0,青提肉多多:1;
83,stu_10,蜜雪冰城,2024-02-01 15:56:00,已完成,8.0,满杯百香果:1;
84,stu_16,蜜雪冰城,2024-02-01 19:35:00,已完成,10.0,冰鲜柠檬水:2;
85,stu_34,星巴克,2024-02-01 16:24:00,已完成,37.0,焦糖玛奇朵:1;
86,stu_25,喜茶,2024-02-02 14:58:00,已完成,42.0,牦牛乳酥油茶:1;羽衣纤体瓶:1;
87,stu_16,古茗,2024-02-02 07:37:00,已完成,14.0,云雾栀子:1;
88,stu_36,古茗,2024-02-03 10:41:00,已完成,14.0,云雾栀子:1;
89,stu_11,奈雪的茶,2024-02-03 21:09:00,已完成,16.0,金色山脉珍珠奶茶:1;
90,stu_34,蜜雪冰城,2024-02-03 11:55:00,已完成,29.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:2;
91,stu_41,茶百道,2024-02-03 06:07:00,已完成,14.0,青提茉莉:1;
92,stu_7,古茗,2024-02-03 12:26:00,已完成,45.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:1;
93,stu_28,喜茶,2024-02-04 19:39:00,已完成,23.0,牦牛乳酥油茶:1;
94,stu_35,蜜雪冰城,2024-02-04 07:09:00,已完成,5.0,冰鲜柠檬水:1;
95,stu_48,茶百道,2024-02-04 15:31:00,已完成,46.0,青提茉莉:2;蜜瓜冰淇淋:1;
96,stu_23,蜜雪冰城,2024-02-04 09:09:00,已完成,15.0,冰鲜柠檬水:3;
97,stu_7,蜜雪冰城,2024-02-05 18:57:00,已完成,27.0,青提肉多多:1;新鲜冰激凌:2;满杯百香果:1;冰鲜柠檬水:1;
98,stu_20,奈雪的茶,2024-02-05 14:49:00,已完成,48.0,茉莉初雪奶茶:3;
99,张三,蜜雪冰城,2024-02-05 14:21:00,已完成,8.0,青提肉多多:1;
100,stu_25,茶百道,2024-02-06 06:58:00,已完成,14.0,青提茉莉:1;
101,stu_8,瑞幸,2024-02-06 18:39:00,已完成,64.8,橙C美式:2;羽衣轻体果蔬茶:1;荔枝冰萃:1;
102,stu_49,茶百道,2024-02-07 08:51:00,已完成,76.0,青提茉莉:1;超级大瓜:2;蜜瓜冰淇淋:1;
103,stu_38,喜茶,2024-02-07 15:02:00,已完成,23.0,牦牛乳酥油茶:1;
104,stu_25,奈雪的茶,2024-02-07 15:38:00,已完成,57.0,霸气橙子:3;
105,stu_32,瑞幸,2024-02-08 14:15:00,已完成,48.0,羽衣轻体果蔬茶:1;鲜萃轻轻茉莉:2;
106,stu_27,喜茶,2024-02-08 14:30:00,已完成,46.0,牦牛乳酥油茶:2;
107,stu_15,茶百道,2024-02-08 18:49:00,已完成,76.0,青提茉莉:1;超级大瓜:2;蜜瓜冰淇淋:1;
108,stu_34,蜜雪冰城,2024-02-09 17:50:00,已完成,24.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
109,stu_16,奈雪的茶,2024-02-09 22:48:00,已完成,19.0,霸气橙子:1;
110,stu_50,蜜雪冰城,2024-02-10 16:51:00,已完成,16.0,青提肉多多:2;
